iso_code,continent,location,population,world_population,people_vaccinated,total_vaccination,dose_nr_avg,total_boosers,total_cases,total_deaths,population_over_64,population_over_69,extreme_poverty_rate,life_exp,handwashing_fac_rate,cardiov_deaths_per100k,male_smokers_perc,female_smokers_perc,gdp_per_capita
URY,South America,Uruguay,"3,422,796.00","8,045,247,353.00","3,010,451.00","9,036,273.00",3,"3,122,733.00","1,041,111.00","7,660.00",14.66,10.36,0.1,77.91, -   ,160.71,19.9,14,"17,924.00"
UZB,Asia,Uzbekistan,"34,627,648.00","8,045,247,353.00","22,087,857.00","82,204,584.00",4,"16,251,340.00","175,081.00","1,016.00",4.47,2.87, -   ,71.72, -   ,724.42,24.7,1.3,"1,993.42"
YEM,Asia,Yemen,"33,696,612.00","8,045,247,353.00","1,050,112.00","1,298,447.00",1,"68,808.00","11,945.00","2,159.00",2.92,1.58,18.8,66.12,49.54,495,29.2,7.6,543.64
ESH,Africa,Western Sahara,"576,005.00","8,045,247,353.00", -   , -   , NULL , -   , -   , -   , -   ,1.38, -   ,70.26, -   , -   , -   , -   , -   
GMB,Africa,Gambia,"2,705,995.00","8,045,247,353.00","674,314.00","1,444,492.00",2,"53,741.00","12,626.00",372,2.34,1.42,10.1,62.05,7.88,331.43,31.2,0.7,772.15
GNQ,Africa,Equatorial Guinea,"1,674,916.00","8,045,247,353.00","270,109.00","488,738.00",2,"4,597.00","17,130.00",183,2.85,1.75, -   ,58.74,24.64,202.81, -   , -   ,"7,406.08"
GRD,North America,Grenada,"125,459.00","8,045,247,353.00","44,241.00","90,686.00",2,"7,411.00","19,693.00",238,7.3,5.02, -   ,72.4, -   ,243.96, -   , -   ,"9,010.51"
HND,North America,Honduras,"10,432,858.00","8,045,247,353.00","6,596,213.00","17,074,861.00",3,"4,872,295.00","472,755.00","11,114.00",4.65,2.88,16,75.27,84.17,240.21, -   ,2,"2,771.72"
IRN,Asia,Iran,"88,550,568.00","8,045,247,353.00","65,199,831.00","155,461,757.00",2,"31,352,288.00","7,626,527.00","146,799.00",5.44,3.18,0.2,76.68, -   ,270.31,21.1,0.8,"4,084.20"
KHM,Asia,Cambodia,"16,767,851.00","8,045,247,353.00","15,315,251.00","47,795,644.00",3,"10,776,613.00","139,085.00","3,056.00",4.41,2.39, -   ,69.82,66.23,270.89,33.7,2,"1,625.24"
KWT,Asia,Kuwait,"4,268,886.00","8,045,247,353.00","3,457,498.00","8,261,221.00",2,"1,457,547.00","667,026.00","2,570.00",2.35,1.11, -   ,75.49, -   ,132.24,37,2.7,"32,324.84"
MLI,Africa,Mali,"22,593,598.00","8,045,247,353.00","4,354,292.00","5,922,585.00",1, -   ,"33,164.00",743,2.52,1.49, -   ,59.31,52.23,268.02,23,1.6,881.51
MOZ,Africa,Mozambique,"32,969,520.00","8,045,247,353.00","22,869,646.00","34,950,858.00",2,"2,323,562.00","233,731.00","2,250.00",3.16,1.87,62.9,60.85,12.23,329.94,29.1,5.1,504.04
MYS,Asia,Malaysia,"33,938,216.00","8,045,247,353.00","28,137,943.00","72,651,213.00",3,"17,180,705.00","5,269,967.00","37,340.00",6.29,3.41,0.1,76.16, -   ,260.94,42.4,1,"11,134.62"
OWID_CYN,Asia,Northern Cyprus,"382,836.00","8,045,247,353.00","301,673.00","861,519.00",3,"80,243.00", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
OWID_ENG,Europe,England,"56,550,000.00","8,045,247,353.00","45,417,090.00","149,398,324.00",3,"77,498,574.00", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
PRY,South America,Paraguay,"6,780,745.00","8,045,247,353.00","3,993,938.00","9,745,545.00",2,"2,204,922.00","736,275.00","19,956.00",6.38,3.83,1.7,74.25,79.6,199.13,21.6,5,"5,959.44"
RWA,Africa,Rwanda,"13,776,702.00","8,045,247,353.00","10,884,714.00","27,322,059.00",3,"5,879,013.00","133,208.00","1,468.00",2.97,1.64,56,69.02,4.62,191.38,21,4.7,821.17
ZAF,Africa,South Africa,"59,893,884.00","8,045,247,353.00","24,210,953.00","41,798,812.00",2,"4,410,601.00","4,072,636.00","102,595.00",5.34,3.05,18.9,64.13,43.99,200.38,33.2,8.1,"7,073.61"
SLB,Oceania,Solomon Islands,"724,272.00","8,045,247,353.00","343,821.00","625,956.00",2,"27,783.00","25,954.00",199,3.51,2.04,25.1,73,35.89,459.78, -   , -   ,"2,232.54"
SOM,Africa,Somalia,"17,597,508.00","8,045,247,353.00","8,972,167.00","10,555,834.00",1,"28,134.00","27,334.00","1,361.00",2.73,1.5, -   ,57.4,9.83,365.77, -   , -   ,576.52
TON,Oceania,Tonga,"106,867.00","8,045,247,353.00","87,342.00","203,208.00",2,"38,506.00","16,950.00",12,5.82,4.03, -   ,70.91, -   ,227.49,44.4,11.8,"4,425.97"
UGA,Africa,Uganda,"47,249,588.00","8,045,247,353.00","20,033,189.00","26,406,936.00",1,"764,664.00","171,890.00","3,632.00",2.17,1.31,41.6,63.37,21.22,213.33,16.7,3.4,883.47
UKR,Europe,Ukraine,"39,701,744.00","8,045,247,353.00","15,774,300.00","31,668,577.00",2,"741,197.00","5,521,032.00","109,918.00",16.46,11.13,0.1,72.06, -   ,539.85,47.4,13.5,"4,827.85"
VNM,Asia,Vietnam,"98,186,856.00","8,045,247,353.00","90,497,674.00","266,492,149.00",3,"57,975,220.00","11,624,000.00","43,206.00",7.15,4.72,2,75.4,85.85,245.47,45.9,1,"3,756.49"
VUT,Oceania,Vanuatu,"326,744.00","8,045,247,353.00","176,624.00","366,638.00",2,"27,697.00","12,019.00",14,4.39,2.62,13.2,70.47,25.21,546.3,34.5,2.8,"3,044.57"
LAO,Asia,Laos,"7,529,477.00","8,045,247,353.00","5,888,649.00","11,111,066.00",2, -   ,"218,917.00",671,4.03,2.32,22.7,67.92,49.84,368.11,51.2,7.3,"2,535.62"
MWI,Africa,Malawi,"20,405,318.00","8,045,247,353.00","5,433,538.00","8,503,954.00",2,"1,232,829.00","89,168.00","2,686.00",2.98,1.78,71.4,64.26,8.7,227.35,24.7,4.4,633.61
NPL,Asia,Nepal,"30,547,586.00","8,045,247,353.00","27,883,196.00","62,627,629.00",2,"10,273,390.00","1,003,450.00","12,031.00",5.81,3.21,15,70.78,47.78,260.8,37.8,9.5,"1,229.39"
OMN,Asia,Oman,"4,576,300.00","8,045,247,353.00","3,279,632.00","7,108,547.00",2,"779,859.00","399,449.00","4,628.00",2.36,1.53, -   ,77.86,97.4,266.34,15.6,0.5,"19,509.47"
PCN,Oceania,Pitcairn,47,"8,045,247,353.00",47,117,2,23,4, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
SDN,Africa,Sudan,"46,874,200.00","8,045,247,353.00","15,207,452.00","22,598,737.00",1,"3,891,363.00","63,993.00","5,046.00",3.55,2.03, -   ,65.31,23.44,431.39, -   , -   ,749.71
SHN,Africa,Saint Helena,"5,401.00","8,045,247,353.00","4,361.00","7,892.00",2, -   ,"2,166.00", -   , -   , -   , -   ,80.56, -   , -   , -   , -   , -   
SUR,South America,Suriname,"618,046.00","8,045,247,353.00","267,820.00","505,699.00",2,"48,889.00","82,506.00","1,404.00",6.93,4.23, -   ,71.68,67.78,258.31,42.9,7.4,"5,026.88"
SWZ,Africa,Eswatini,"1,201,680.00","8,045,247,353.00","526,050.00","870,205.00",2,"179,450.00","75,191.00","1,427.00",3.16,1.85, -   ,60.19,24.1,333.44,16.5,1.7,"4,068.57"
SYR,Asia,Syria,"22,125,242.00","8,045,247,353.00","3,295,630.00","5,090,630.00",2,"75,881.00","57,423.00","3,163.00", -   ,2.58, -   ,72.7,70.6,376.26, -   , -   ,420.62
THA,Asia,Thailand,"71,697,024.00","8,045,247,353.00","57,005,497.00","142,635,014.00",3,"32,143,431.00","4,765,718.00","34,555.00",11.37,6.89,0.1,77.15,90.67,109.86,38.8,1.9,"7,060.90"
TLS,Asia,Timor,"1,341,298.00","8,045,247,353.00","886,838.00","2,028,798.00",2,"340,201.00","23,460.00",138,3.56,1.9,30.3,69.5,28.18,335.35,78.1,6.3,"2,741.95"
BLZ,North America,Belize,"405,285.00","8,045,247,353.00","258,473.00","510,717.00",2,"53,198.00","71,381.00",688,3.85,2.28, -   ,74.62,90.08,176.96, -   , -   ,"6,060.97"
BRA,South America,Brazil,"215,313,504.00","8,045,247,353.00","189,643,431.00","486,436,436.00",3,"126,388,587.00","37,519,960.00","702,116.00",8.55,5.06,3.4,75.88, -   ,177.96,17.9,10.1,"7,696.78"
CHE,Europe,Switzerland,"8,740,471.00","8,045,247,353.00","6,096,911.00","16,940,716.00",3,"4,885,838.00","4,450,977.00","14,178.00",18.44,12.64, -   ,83.78, -   ,99.74,28.9,22.6,"93,446.43"
CHL,South America,Chile,"19,603,736.00","8,045,247,353.00","18,088,517.00","66,860,038.00",4,"27,474,929.00","5,345,008.00","64,482.00",11.09,6.94,1.3,80.18, -   ,127.99,41.5,34.2,"16,240.61"
GIN,Africa,Guinea,"13,859,349.00","8,045,247,353.00","8,715,641.00","12,049,511.00",1,"425,378.00","38,572.00",468,3.14,1.73,35.3,61.6,17.45,336.72, -   , -   ,"1,189.18"
CIV,Africa,Cote d'Ivoire,"28,160,548.00","8,045,247,353.00","13,568,372.00","25,263,932.00",2,"3,138,712.00","88,384.00",835,2.93,1.58,28.2,57.78,19.35,303.74, -   , -   ,"2,613.38"
GTM,North America,Guatemala,"17,843,914.00","8,045,247,353.00","8,933,623.00","20,362,104.00",2,"4,302,176.00","1,250,319.00","20,201.00",4.69,3.02,8.7,74.3,76.67,155.9, -   , -   ,"5,029.48"
KIR,Oceania,Kiribati,"131,237.00","8,045,247,353.00","100,900.00","219,980.00",2,"37,606.00","5,085.00",24,3.9,2.21, -   ,68.37, -   ,434.66,58.9,35.9,"1,766.14"
LBN,Asia,Lebanon,"5,489,744.00","8,045,247,353.00","2,740,227.00","5,814,699.00",2,"660,249.00","1,239,904.00","10,947.00",8.51,5.43, -   ,78.93, -   ,266.59,40.7,26.9,"4,136.15"
LCA,North America,Saint Lucia,"179,872.00","8,045,247,353.00","60,140.00","122,977.00",2,"7,866.00","30,215.00",410,9.72,6.41, -   ,76.2,87.2,204.62, -   , -   ,"10,916.23"
MAF,North America,Saint Martin (French part),"31,816.00","8,045,247,353.00", -   , -   , NULL , -   ,"12,324.00",46, -   , -   , -   ,82.08, -   , -   , -   , -   ,"20,320.72"
NAM,Africa,Namibia,"2,567,024.00","8,045,247,353.00","629,767.00","1,005,937.00",2,"298,560.00","172,264.00","4,103.00",3.55,2.09,13.4,63.71,44.6,243.81,34.2,9.7,"4,919.19"
NGA,Africa,Nigeria,"218,541,216.00","8,045,247,353.00","93,829,435.00","133,048,021.00",1,"16,826,715.00","267,173.00","3,155.00",2.75,1.45, -   ,54.69,41.95,181.01,10.8,0.6,"2,065.77"
NRU,Oceania,Nauru,"12,691.00","8,045,247,353.00","13,106.00","32,157.00",2,"7,705.00","5,393.00",1, -   , -   , -   ,59.96, -   , -   ,36.9,43,"11,632.69"
OWID_KOS,Europe,Kosovo,"1,782,115.00","8,045,247,353.00","906,858.00","1,837,446.00",2,"105,506.00","274,279.00","3,212.00", -   , -   ,0.6, -   , -   , -   , -   , -   ,"5,269.78"
PHL,Asia,Philippines,"115,559,008.00","8,045,247,353.00","82,684,774.00","189,317,158.00",2,"23,811,248.00","4,173,631.00","66,864.00",4.8,2.66, -   ,71.23,78.46,370.44,40.8,7.8,"3,460.54"
SLE,Africa,Sierra Leone,"8,605,723.00","8,045,247,353.00","5,676,123.00","9,155,936.00",2,"1,201,709.00","7,779.00",126,2.54,1.29,52.2,54.7,19.28,325.72,41.3,8.8,504.62
SLV,North America,El Salvador,"6,336,393.00","8,045,247,353.00","4,652,597.00","11,289,175.00",2,"2,292,292.00","201,853.00","4,230.00",8.27,5.42,2.2,73.32,90.65,167.3,18.8,2.5,"4,664.31"
SPM,North America,Saint Pierre and Miquelon,"5,885.00","8,045,247,353.00", -   , -   , NULL , -   ,"3,426.00",2, -   , -   , -   ,81.07, -   , -   , -   , -   , -   
STP,Africa,Sao Tome and Principe,"227,393.00","8,045,247,353.00","140,256.00","263,863.00",2,"34,624.00","6,734.00",80,2.89,2.16,32.3,70.39,41.34,270.11, -   , -   ,"2,350.45"
TCD,Africa,Chad,"17,723,312.00","8,045,247,353.00","5,146,338.00","9,148,883.00",2,"4,042,573.00","7,698.00",194,2.49,1.45,38.4,54.24,5.82,281, -   , -   ,685.69
TJK,Asia,Tajikistan,"9,952,789.00","8,045,247,353.00","5,328,277.00","20,525,784.00",4,"5,280,117.00","17,786.00",125,3.47,2.16,4.8,71.1,72.7,427.7, -   , -   ,916.69
TUV,Oceania,Tuvalu,"11,335.00","8,045,247,353.00","9,763.00","26,783.00",3,"5,745.00","2,943.00",1, -   , -   ,3.3,67.57, -   , -   , -   , -   ,"5,372.76"
WLF,Oceania,Wallis and Futuna,"11,596.00","8,045,247,353.00","7,150.00","18,058.00",3,"3,766.00","3,550.00",8, -   , -   , -   ,79.94, -   , -   , -   , -   , -   
COD,Africa,Democratic Republic of Congo,"99,010,216.00","8,045,247,353.00","17,045,721.00","18,808,671.00",1, -   ,"99,338.00","1,468.00",3.02,1.75,77.1,60.68,4.47,318.95, -   , -   ,576.97
COM,Africa,Comoros,"836,783.00","8,045,247,353.00","438,825.00","835,021.00",2, -   ,"9,109.00",160,2.96,1.73,18.1,64.32,15.57,261.52,23.6,4.4,"1,577.47"
DMA,North America,Dominica,"72,758.00","8,045,247,353.00","32,995.00","67,647.00",2,"3,993.00","16,038.00",74, -   , -   , -   ,75, -   ,227.38, -   , -   ,"7,668.16"
DNK,Europe,Denmark,"5,882,259.00","8,045,247,353.00","4,746,522.00","14,961,517.00",3,"3,617,006.00","3,433,033.00","9,436.00",19.68,12.33,0.2,80.9, -   ,114.77,18.8,19.3,"69,268.65"
DZA,Africa,Algeria,"44,903,228.00","8,045,247,353.00","7,840,131.00","15,267,442.00",2,"575,651.00","272,010.00","6,881.00",6.21,3.86,0.5,76.88,83.74,278.36,30.4,0.7,"3,700.31"
FRA,Europe,France,"67,813,000.00","8,045,247,353.00","54,677,678.00","154,493,266.00",3,"47,705,542.00","38,997,490.00","167,985.00",19.72,13.08, -   ,82.66, -   ,86.06,35.6,30.1,"43,671.31"
GRC,Europe,Greece,"10,384,972.00","8,045,247,353.00","7,937,502.00","22,439,696.00",3,"7,434,319.00","5,611,832.00","38,806.00",20.4,14.52,1.5,82.24, -   ,175.7,52,35.3,"20,310.68"
HKG,Asia,Hong Kong,"7,488,863.00","8,045,247,353.00","6,918,981.00","20,973,824.00",3,"7,252,323.00", -   , -   ,16.3,10.16, -   ,84.86, -   , -   , -   , -   ,"49,764.79"
HTI,North America,Haiti,"11,585,003.00","8,045,247,353.00","521,396.00","669,130.00",1, -   ,"34,509.00",860,4.8,2.95,23.5,64,22.86,430.55,23.1,2.9,"1,823.74"
IRQ,Asia,Iraq,"44,496,124.00","8,045,247,353.00","11,332,925.00","19,557,364.00",2,"275,280.00","2,465,545.00","25,375.00",3.19,1.96,2.5,70.6,94.58,218.61, -   , -   ,"4,770.84"
LBR,Africa,Liberia,"5,302,690.00","8,045,247,353.00","3,903,802.00","4,460,668.00",1,"1,987.00","8,090.00",294,3.06,1.76,38.6,64.1,1.19,272.51,18.1,1.5,675.66
LBY,Africa,Libya,"6,812,344.00","8,045,247,353.00","2,316,327.00","3,739,158.00",2,"186,729.00","507,269.00","6,437.00",4.42,2.82, -   ,72.91, -   ,341.86, -   , -   ,"5,908.95"
LSO,Africa,Lesotho,"2,305,826.00","8,045,247,353.00","1,014,073.00","1,339,097.00",1,"177,816.00","36,135.00",709,4.51,2.65,59.6,54.33,2.12,405.13,53.9,0.4,"1,029.51"
MAR,Africa,Morocco,"37,457,976.00","8,045,247,353.00","25,020,168.00","55,389,602.00",2,"6,925,973.00","1,278,844.00","16,301.00",6.77,4.21,1,76.68, -   ,419.15,47.1,0.8,"3,767.52"
MCO,Europe,Monaco,"36,491.00","8,045,247,353.00","28,875.00","65,140.00",2,"10,598.00","17,181.00",67, -   , -   , -   ,86.75, -   , -   , -   , -   ,"235,132.78"
MMR,Asia,Myanmar,"54,179,312.00","8,045,247,353.00","41,551,927.00","93,477,104.00",2,"15,987,381.00","641,730.00","19,494.00",5.73,3.12,6.4,67.13,79.29,202.1,35.2,6.3,"1,231.69"
MRT,Africa,Mauritania,"4,736,146.00","8,045,247,353.00","2,103,754.00","4,075,874.00",2,"383,937.00","63,809.00",997,3.14,1.79,6,64.92,15.95,232.35, -   , -   ,"1,998.39"
MUS,Africa,Mauritius,"1,299,478.00","8,045,247,353.00","1,123,773.00","2,616,012.00",2,"654,507.00","324,332.00","1,066.00",10.95,5.88,0.5,74.99, -   ,224.64,40.7,3.2,"9,068.98"
NIU,Oceania,Niue,"1,952.00","8,045,247,353.00","1,638.00","4,923.00",3,"1,225.00",993, -   , -   , -   , -   ,73.71, -   , -   , -   , -   , -   
OWID_WLS,Europe,Wales,"3,170,000.00","8,045,247,353.00","2,592,226.00","8,932,482.00",3,"4,064,651.00", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
PAK,Asia,Pakistan,"235,824,864.00","8,045,247,353.00","165,567,890.00","340,974,144.00",2,"53,152,375.00","1,580,631.00","30,656.00",4.5,2.78,4,67.27,59.61,423.03,36.7,2.8,"1,506.11"
PAN,North America,Panama,"4,408,582.00","8,045,247,353.00","3,533,477.00","8,893,001.00",3,"2,033,783.00","1,042,567.00","8,654.00",7.92,5.03,2.2,78.51, -   ,128.35,9.9,2.4,"15,491.29"
PYF,Oceania,French Polynesia,"306,292.00","8,045,247,353.00","190,908.00","502,952.00",3,"112,237.00","79,254.00",650,7.78,4.59, -   ,77.66, -   , -   , -   , -   ,"20,230.24"
SRB,Europe,Serbia,"6,871,547.00","8,045,247,353.00","3,354,075.00","8,534,688.00",3,"1,902,412.00","2,583,470.00","18,057.00",17.37, -   , -   ,76,97.72,439.42,40.2,37.7,"9,232.96"
SVN,Europe,Slovenia,"2,119,843.00","8,045,247,353.00","1,265,802.00","2,996,643.00",2,"657,967.00","1,355,444.00","9,957.00",19.06,12.93, -   ,81.32, -   ,153.49,25,20.1,"29,331.06"
SWE,Europe,Sweden,"10,549,349.00","8,045,247,353.00","7,775,726.00","28,286,107.00",4,"9,836,355.00","2,749,793.00","27,053.00",19.99,13.43,0.5,82.8, -   ,133.98,18.9,18.8,"61,417.68"
TWN,Asia,Taiwan,"23,893,396.00","8,045,247,353.00","21,899,240.00","68,158,988.00",3,"25,466,659.00", -   , -   , -   ,8.35, -   ,80.46, -   ,103.96, -   , -   , -   
VCT,North America,Saint Vincent and the Grenadines,"103,959.00","8,045,247,353.00","37,532.00","73,443.00",2,"4,279.00","9,674.00",124,7.72,4.83, -   ,72.53, -   ,252.68, -   , -   ,"8,360.06"
VEN,South America,Venezuela,"28,301,700.00","8,045,247,353.00","22,157,232.00","37,860,994.00",2,"651,502.00","552,695.00","5,856.00",6.61,3.92, -   ,72.06, -   ,204.85, -   , -   , -   
VGB,North America,British Virgin Islands,"31,332.00","8,045,247,353.00","19,466.00","41,453.00",2,"3,726.00","7,392.00",64, -   , -   , -   ,79.07, -   , -   , -   , -   , -   
VIR,North America,United States Virgin Islands,"99,479.00","8,045,247,353.00", -   , -   , NULL , -   ,"25,389.00",132,18.6,10.8, -   ,80.58, -   ,273.67, -   , -   ,"41,976.01"
ZWE,Africa,Zimbabwe,"16,320,539.00","8,045,247,353.00","6,437,808.00","12,222,754.00",2,"1,033,676.00","266,265.00","5,737.00",2.82,1.88,21.4,61.49,36.79,307.85,30.7,1.6,"1,773.92"
MDA,Europe,Moldova,"3,272,993.00","8,045,247,353.00","1,109,270.00","2,291,436.00",2,"404,774.00","633,670.00","12,197.00",10.86,6.96,0.2,71.9,86.98,408.5,44.6,5.9,"5,274.74"
MDG,Africa,Madagascar,"29,611,718.00","8,045,247,353.00","2,710,365.00","3,092,063.00",1,"169,187.00","68,475.00","1,426.00",2.93,1.69,77.6,67.04,50.54,405.99, -   , -   ,503.35
MDV,Asia,Maldives,"523,798.00","8,045,247,353.00","399,308.00","951,764.00",2,"167,289.00","186,694.00",316,4.12,2.88, -   ,78.92,95.8,164.91,55,2.1,"10,076.32"
MEX,North America,Mexico,"127,504,120.00","8,045,247,353.00","97,179,493.00","223,158,993.00",2,"57,026,630.00","7,702,809.00","334,958.00",6.86,4.32,2.5,75.05,87.85,152.78,21.4,6.9,"10,359.15"
MHL,Oceania,Marshall Islands,"41,593.00","8,045,247,353.00", -   , -   , NULL , -   ,"16,138.00",17, -   , -   , -   ,73.7,82.5,557.79, -   , -   ,"6,130.44"
MNP,Oceania,Northern Mariana Islands,"49,574.00","8,045,247,353.00", -   , -   , NULL , -   ,"14,341.00",41, -   , -   , -   ,76.74, -   ,194.99, -   , -   , -   
MYT,Africa,Mayotte,"326,113.00","8,045,247,353.00", -   , -   , NULL , -   ,"42,027.00",187, -   ,2.41, -   ,79.46, -   , -   , -   , -   , -   
NLD,Europe,Netherlands,"17,564,020.00","8,045,247,353.00","12,582,081.00","39,764,182.00",3,"9,416,761.00","8,633,769.00","22,986.00",18.78,11.88, -   ,82.28, -   ,109.36,27.3,24.4,"58,727.87"
NOR,Europe,Norway,"5,434,324.00","8,045,247,353.00","4,346,995.00","12,145,560.00",3,"3,743,839.00","1,506,086.00","5,732.00",16.82,10.81,0.2,82.4, -   ,114.32,20.7,19.6,"93,072.89"
OWID_SCT,Europe,Scotland,"5,466,000.00","8,045,247,353.00","4,549,556.00","13,014,285.00",3,"3,594,835.00", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
PNG,Oceania,Papua New Guinea,"10,142,625.00","8,045,247,353.00","382,020.00","737,695.00",2,"34,483.00","46,864.00",670,3.81,2.14, -   ,64.5, -   ,561.49,48.8,23.5,"2,624.60"
PRT,Europe,Portugal,"10,270,857.00","8,045,247,353.00","9,821,414.00","28,314,797.00",3,"7,086,326.00","5,641,992.00","28,079.00",21.5,14.92,0.5,82.05, -   ,127.84,30,16.3,"24,661.17"
QAT,Asia,Qatar,"2,695,131.00","8,045,247,353.00","2,852,178.00","7,609,178.00",3,"1,904,822.00","514,524.00",690,1.31,0.62, -   ,80.23, -   ,176.69,26.9,0.8,"66,858.74"
REU,Africa,Reunion,"974,062.00","8,045,247,353.00", -   , -   , NULL , -   ,"494,595.00",921, -   ,6.84, -   ,80.48, -   , -   , -   , -   , -   
SEN,Africa,Senegal,"17,316,452.00","8,045,247,353.00","2,684,696.00","3,179,647.00",1,"815,965.00","89,050.00","1,971.00",3.01,1.8,38,67.94,20.86,241.22,16.6,0.4,"1,633.56"
SGP,Asia,Singapore,"5,637,022.00","8,045,247,353.00","5,160,551.00","14,727,569.00",3,"4,440,289.00","2,994,295.00","1,954.00",12.92,7.05, -   ,83.62, -   ,92.24,28.3,5.2,"77,710.09"
SSD,Africa,South Sudan,"10,913,172.00","8,045,247,353.00","4,315,127.00","4,365,547.00",1,"513,122.00","18,819.00",147,3.44,2.03, -   ,57.85, -   ,280.78, -   , -   , -   
SYC,Africa,Seychelles,"107,135.00","8,045,247,353.00","88,520.00","224,558.00",3,"44,936.00","51,220.00",172,8.61,5.59,1.1,73.4, -   ,242.65,35.7,7.1,"12,963.06"
TTO,North America,Trinidad and Tobago,"1,531,043.00","8,045,247,353.00","753,588.00","1,580,898.00",2,"168,619.00","191,496.00","4,390.00",10.01,5.82, -   ,73.51,89.44,228.47, -   , -   ,"16,056.30"
TUN,Africa,Tunisia,"12,356,116.00","8,045,247,353.00","7,218,871.00","13,253,317.00",2,"1,258,577.00","1,153,361.00","29,423.00",8,5.08,2,76.7,78.69,318.99,65.8,1.1,"3,807.18"
USA,North America,United States,"338,289,856.00","8,045,247,353.00","270,227,181.00","676,728,782.00",3,"133,062,763.00","103,436,829.00","1,170,784.00",15.41,9.73,1.2,78.86, -   ,151.09,24.6,19.1,"70,219.47"
VAT,Europe,Vatican,808,"8,045,247,353.00", -   , -   , NULL , -   ,26, -   , -   , -   , -   ,75.12, -   , -   , -   , -   , -   
PLW,Oceania,Palau,"18,084.00","8,045,247,353.00", -   , -   , NULL , -   ,"6,265.00",9, -   , -   , -   ,73.7, -   , -   ,22.7,7.7,"12,921.83"
RUS,Europe,Russia,"144,713,312.00","8,045,247,353.00","89,081,596.00","187,374,508.00",2,"20,829,310.00","23,774,451.00","401,884.00",14.18,9.39,0.1,72.58, -   ,431.3,58.3,23.4,"12,532.05"
SAU,Asia,Saudi Arabia,"36,408,824.00","8,045,247,353.00","27,041,364.00","68,534,631.00",3,"10,793,985.00","841,469.00","9,646.00",3.3,1.85, -   ,75.13, -   ,259.54,25.4,1.8,"24,315.62"
SXM,North America,Sint Maarten (Dutch part),"44,192.00","8,045,247,353.00","29,788.00","66,829.00",2,"9,146.00","11,051.00",92, -   , -   , -   ,78.95, -   , -   , -   , -   ,"31,711.61"
TGO,Africa,Togo,"8,848,700.00","8,045,247,353.00","2,255,579.00","3,423,181.00",2,"427,804.00","39,527.00",290,2.84,1.53,49.2,61.04,10.48,280.03,14.2,0.9,976.67
TKL,Oceania,Tokelau,"1,893.00","8,045,247,353.00","2,203.00","5,374.00",2,968,80, -   , -   , -   , -   ,81.86, -   , -   , -   , -   , -   
ZMB,Africa,Zambia,"20,017,670.00","8,045,247,353.00","11,711,565.00","13,454,213.00",1,"33,684.00","349,304.00","4,069.00",2.48,1.54,57.5,63.89,13.94,234.5,24.7,3.1,"1,134.71"
